"<a href=""%1"" target=""_blank"">Click here</a> to apply for an account.","<a href=""%1"" target=""_blank"">Haga clic aquí</a> para solicitar una cuenta."
"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">¿Necesita ayuda?</a>"
"<a href=""https://support.direct.ingenico.com/documentation/api/webhooks"" target=""_blank"">Need help?</a>","<a href=""https://support.direct.ingenico.com/documentation/api/webhooks"" target=""_blank"">¿Necesita ayuda?</a>"
"<b>Online payments solutions for every type of business.</b><br />Regardless of the size, markets and scope of your business, we partner with you for growth.","<b>Soluciones de pagos en línea para cada tipo de negocio.</b><br />Sea cual sea el tamaño, mercados y alcance de su empresa, nos aliamos para su crecimiento."
"Abandoned Orders","Órdenes abandonadas"
"All Allowed Countries","Todos los países permitidos"
"All Allowed Currencies","Todas las monedas permitidas"
"All Allowed Customer Groups","Todos los grupos de clientes permitidos"
"Allow Receiving Webhooks","Permitir recepción de ganchos web"
"American Express","American Express"
"and perform the following steps:","y realice los siguientes pasos:"
"API Key","Clave de API"
"API Secret","Secreto de la API"
"Attention","Atención"
"Authorization Mode","Modo de autorización"
"Authorize & Capture","Autorizar y capturar"
"Authorize","Autorizar"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Cancelación automática de pedidos que están atascados en el estado de revisión de pago después del tiempo especificado. El tiempo aparece en minutos."
"Available Credit Card Types","Tipos de tarjeta de crédito disponibles"
"Carte Bancaire","Carte Bancaire"
"Click on ""GENERATE WEBHOOKS API KEY""","Haga clic en ""GENERAR CLAVE DE API DE GANCHOS WEB"""
"Click on ""SAVE"" to confirm your settings","Haga clic en ""GUARDAR"" para confirmar su configuración"
"Code eci: %1","Código eci: %1"
"Connection failed! Test again?","Error de conexión ¿Desea hacer la prueba nuevamente?"
"Connection","Conexión"
"Copy & Paste the WebhooksKeySecret immediately","Inmediatamente copie y pegue WebhooksKeySecret"
"Credit Cards (iFrame)","Tarjeta de crédito"
"Current extension version is %1.","La versión actual de la extensión es %1."
"Custom Return URL","URL de devolución personalizada"
"Debug","Depurar"
"Debug","Depurar"
"Default Order Status","Estado de pedido predeterminado"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Valor predeterminado: cada 5 minutos. <a href=""http://crontab.guru/"" target=""_blank"">¿Necesita ayuda?</a>"
"Diners Club","Diners Club"
"Enable Module","Habilitar módulo"
"Enable Saved Payment (Vault)","Habilitar pago guardado (almacén)"
"Enable Vault for Card Payments","Habilitar almacén para pagos con tarjeta"
"ending","finalizando"
"Environment Mode","Modo de entorno"
"expires","vence"
"Fallback Timeout Limit","Límite de tiempo de espera de reserva"
"Fallback Timeout","Tiempo de espera de reserva"
"Final Authorization","Autorización final"
"For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>.","Para obtener ayuda sobre la extensión, visite el <a href=""%1"" target=""_blank"">sitio de asistencia técnica</a>."
"General Information","Información general"
"General","General"
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Vaya a Configuración > Información técnica >  Parámetros API > Configuración de ganchos web"
"Hosted Checkout (Redirect to Worldline)","Finalización de la compra alojada"
"HTML Template ID","Id. de plantilla HTML"
"If the payment process is failed, change the order status after the specified time in ""Fallback Timeout"" till the value specified in this field.<br/>In other words, the request will be executed during the specified time limit.","Si el proceso de pago produce un error, cambie el estado del pedido después del tiempo especificado en ""Tiempo de espera de reserva"" hasta que el valor especificado aparezca en este campo.<br/>En otros términos, la solicitud se ejecutará durante el límite de tiempo especificado."
"If the payment process is failed, change the order status after the specified time.","Si el proceso de pago produce un error, cambie el estado del pedido después del tiempo especificado."
"In ""Endpoints URLs"", paste the Webhooks URL of your store - see below","En ""URL de puntos finales"", pegue la URL de los ganchos web de su tienda, vea a continuación"
"JCB","JCB"
"Key","Clave"
"label","etiqueta"
"Latest version available is %1.","La última versión disponible es %1."
"Maestro","Maestro"
"Mastercard","Mastercard"
"Maximum Order Total","Total máximo de pedido"
"Merchant ID (PSPID)","Id. de comerciante (PSPID)"
"Minimum Order Total","Total mínimo de pedido"
"No authorization transaction to proceed capture.","No hay transacción de autorización para proceder con la captura."
"No payment method","No hay método de pago"
"No public_hash provided","No se proporcionó public_hash"
"No","No"
"Not AJAX","No AJAX"
"Or contact our <a href=""%1"" target=""_blank"">sales team</a> for more details about our products.","O bien, comuníquese con nuestro <a href=""%1"" target=""_blank"">equipo de ventas</a> para obtener más detalles acerca de nuestros productos."
"Or visit <a href=""%1"" target=""_blank"">developer's portal</a> for the API reference and documentation.","O bien, visite el <a href=""%1"" target=""_blank"">portal del desarrollador</a> para obtener referencias y documentación de la API."
"Order processed successfully by webhook. WorldLine status: %1.","El pedido se procesó con éxito a través del gancho web. Estado de WorldLine: %1."
"Order Status Updater","Actualizador de estado de pedido"
"Payment Action","Acción de pago"
"Payment from Applicable Countries","Pago de países aplicables"
"Payment from Applicable Currencies","Pago de monedas aplicables"
"Payment from Applicable Customer Groups","Pago de grupos de clientes aplicables"
"Payment from Specific Countries","Pago de países específicos"
"Payment from Specific Currencies","Pago de monedas específicas"
"Payment from Specific Customer Groups","Pago de grupos de clientes específicos"
"Payment Methods","Métodos de pago"
"Place Order","Realizar pedido"
"Please correct the sent data.","Corrija los datos enviados."
"Please, <a href=""%1"">click here</a> to proceed.","<a href=""%1"">Haga clic aquí</a> para continuar."
"Pre-Authorization","Preautorización"
"Production API URL","URL de producción de API"
"Production","Producción"
"Required parameter ""worldline"" for ""payment_method"" is missing.","Falta el parámetro requerido ""worldline"" para ""payment_method""."
"Saved Payment Sort order","Orden de pago guardado"
"Saved Payment Title","Título de pago guardado"
"Schedule (Cron Syntax)","Cronograma (sintaxis cron)"
"Secret Key","Clave secreta"
"Should be set only if you use PWA Studio or any other 3rd party frontend.","Se debe establecer únicamente si utiliza PWA Studio o cualquier otro frontend de terceros."
"Skip 3DSecure Authentication","Omitir la autenticación 3DSecure"
"Skip 3DSecure Authentication","Omitir la autenticación 3DSecure"
"Sorry, but something went wrong","Lamentablemente, se produjo algún error"
"Sort","Ordenar"
"Specific Countries","Países específicos"
"Specific Currencies","Monedas específicas"
"Specific Customer Groups","Grupos de clientes específicos"
"Specify fallback timeout in minutes.","Especificar el tiempo de espera de reserva en minutos."
"Specify fallback timeout limit in hours.","Especificar el límite de tiempo de espera de reserva en horas."
"Submit Customer Cart Items Data to Worldline","Enviar datos de artículos del carrito del cliente a Worldline"
"Successful! Test again?","¡Correcto! ¿Desea hacer la prueba nuevamente?"
"Test Connection","Probar conexión"
"Test","Prueba"
"Testing API URL","URL de lAPI de prueba"
"The current customer isn't authorized.","El cliente actual no está autorizado."
"The payment has failed, please, try again","El pago ha producido un error, intente nuevamente"
"This option should not be turned off if the merchant is based in a EU country","Esta opción no debe desactivarse si el comerciante se encuentra en un país de la UE"
"This URL must be specified in the worldline admin panel","Esta URL debe especificarse en el panel de administración de Worldline"
"This URL must be specified in the Worldline admin panel","Esta URL debe especificarse en el panel de administración de Worldline."
"Title","Título"
"To retrieve the webhooks credentials, login to the Worldline Back Office.","Para recuperar las credenciales de los ganchos web, inicie sesión en Worldline Back Office."
"Use system value","Usar valor del sistema"
"Visa","Visa"
"Waiting Time","Tiempo de espera"
"Webhook URL","URL de los ganchos web"
"Webhook","Gancho web"
"Worldline extension is compatible with Adobe Commerce 2.3.x / 2.4.x & Magento Open Source 2.3.x / 2.4.x.","La extensión de Worldline es compatible con Adobe Commerce 2.3.x / 2.4.x y Magento Open Source 2.3.x / 2.4.x."
"Worldline Online Payments configuration is located under the dedicated configuration section.","La configuración de Worldline Online Payments se encuentra debajo de la sección exclusiva de configuración."
"Worldline Online Payments","Worldline Online Payments"
"WorldLine refund has failed. Please contact the provider.","El reembolso de WorldLine ha producido un error. Por favor, contáctese con el proveedor."
"Yes","Sí"
"Your payment couldn't be completed, please try again","Su pago no se pudo completar, por favor inténtelo de nuevo"
"Please use one of the following extensions : html, htm, dhtml","Utilice una de las siguientes extensiones : html, htm, dhtml"
